,Compound Score,Date,Negative Score,Neutral Score,News Organization,Positive Score,Tweets Ago
0,-0.5994,Thu Aug 02 00:00:24 +0000 2018,0.302,0.698,@BBCWorld,0.0,0
1,0.0,Wed Aug 01 23:45:14 +0000 2018,0.0,1.0,@BBCWorld,0.0,1
2,0.0,Wed Aug 01 23:11:21 +0000 2018,0.0,1.0,@BBCWorld,0.0,2
3,-0.7906,Wed Aug 01 23:08:37 +0000 2018,0.438,0.562,@BBCWorld,0.0,3
4,0.34,Wed Aug 01 22:40:25 +0000 2018,0.144,0.625,@BBCWorld,0.231,4
5,0.4215,Wed Aug 01 20:56:18 +0000 2018,0.0,0.872,@BBCWorld,0.128,5
6,-0.0516,Wed Aug 01 20:14:58 +0000 2018,0.118,0.882,@BBCWorld,0.0,6
7,-0.4588,Wed Aug 01 19:48:28 +0000 2018,0.13,0.87,@BBCWorld,0.0,7
8,-0.3182,Wed Aug 01 19:31:55 +0000 2018,0.277,0.723,@BBCWorld,0.0,8
9,0.0,Wed Aug 01 19:02:10 +0000 2018,0.0,1.0,@BBCWorld,0.0,9
10,0.0,Wed Aug 01 18:45:13 +0000 2018,0.0,1.0,@BBCWorld,0.0,10
11,0.0,Wed Aug 01 18:29:39 +0000 2018,0.0,1.0,@BBCWorld,0.0,11
12,0.0,Wed Aug 01 18:22:05 +0000 2018,0.0,1.0,@BBCWorld,0.0,12
13,0.0,Wed Aug 01 18:17:26 +0000 2018,0.0,1.0,@BBCWorld,0.0,13
14,0.0,Wed Aug 01 17:31:12 +0000 2018,0.0,1.0,@BBCWorld,0.0,14
15,-0.296,Wed Aug 01 17:12:34 +0000 2018,0.239,0.761,@BBCWorld,0.0,15
16,-0.2263,Wed Aug 01 16:52:48 +0000 2018,0.192,0.808,@BBCWorld,0.0,16
17,0.4767,Wed Aug 01 16:36:25 +0000 2018,0.0,0.661,@BBCWorld,0.339,17
18,0.0,Wed Aug 01 16:19:17 +0000 2018,0.0,1.0,@BBCWorld,0.0,18
19,-0.296,Wed Aug 01 16:05:00 +0000 2018,0.216,0.784,@BBCWorld,0.0,19
20,0.0,Wed Aug 01 15:09:43 +0000 2018,0.0,1.0,@BBCWorld,0.0,20
21,-0.4767,Wed Aug 01 14:48:28 +0000 2018,0.279,0.721,@BBCWorld,0.0,21
22,0.4404,Wed Aug 01 14:35:31 +0000 2018,0.0,0.734,@BBCWorld,0.266,22
23,-0.4019,Wed Aug 01 14:12:05 +0000 2018,0.252,0.748,@BBCWorld,0.0,23
24,-0.3818,Wed Aug 01 13:37:54 +0000 2018,0.224,0.776,@BBCWorld,0.0,24
25,-0.7964,Wed Aug 01 13:27:17 +0000 2018,0.542,0.458,@BBCWorld,0.0,25
26,0.0,Wed Aug 01 13:08:41 +0000 2018,0.0,1.0,@BBCWorld,0.0,26
27,0.2023,Wed Aug 01 13:03:35 +0000 2018,0.179,0.566,@BBCWorld,0.255,27
28,0.34,Wed Aug 01 12:41:25 +0000 2018,0.0,0.769,@BBCWorld,0.231,28
29,0.0,Wed Aug 01 12:12:37 +0000 2018,0.0,1.0,@BBCWorld,0.0,29
30,-0.8481,Wed Aug 01 11:01:43 +0000 2018,0.387,0.613,@BBCWorld,0.0,30
31,0.5267,Wed Aug 01 10:59:06 +0000 2018,0.0,0.702,@BBCWorld,0.298,31
32,-0.1531,Wed Aug 01 10:57:05 +0000 2018,0.151,0.849,@BBCWorld,0.0,32
33,0.0,Wed Aug 01 10:30:23 +0000 2018,0.0,1.0,@BBCWorld,0.0,33
